Brand,Model,Body_Type,variant,No.of Seats,Price,Fuel_Type,location,gearbox_Type
Hyundai,Tucson,SUV,2.0 Platinum AT Petrol,5 Seater,₹34.14 L,Petrol,Delhi,Automatic
Maruti Suzuki,Suzuki EecoMinivan/Van7,Minivan/Van,5 STR STD,7 Seater,₹6.43 L,Petrol,Delhi,Manual
Kia,Carens,SUV,1.5 Premium(O) 7 STR Petrol,7 Seater,₹13.22 L,Petrol,Delhi,Manual
Toyota,Urban Cruiser Hyryder,SUV,Hybrid G CVT,5 Seater,₹21.84 L,Petrol,Delhi,Automatic
Honda,Elevate,SUV,SV-R,5 Seater,₹14.03 L,Petrol,Delhi,Manual
Toyota,Rumion,SUV,S AT Neo Drive,7 Seater,₹14.13 L,Petrol,Delhi,Automatic
Toyota,Innova Crysta,SUV,GX 7 STR,8 Seater,₹23.79 L,Diesel,Delhi,Manual
MG,ZS EV,SUV,Executive,5 Seater,₹19.09 L,Electric,Delhi,Automatic
MG,Hector Plus,SUV,1.5 Select Pro,7 Seater,₹22.22 L,Petrol,Delhi,Manual
MG,Hector,SUV,1.5 Shine Pro,5 Seater,₹19.81 L,Petrol,Delhi,Manual
MG,Gloster,SUV,2.0 Sharp 7 STR,7 Seater,₹48.09 L,Diesel,Delhi,Automatic
MG,Comet EV,Hatchback,Excite,4 Seater,₹9.02 L,Electric,Delhi,Automatic
MG,Astor,SUV,1.5 Sprint,5 Seater,₹13.35 L,Petrol,Delhi,Manual
Kia,Seltos,SUV,1.5 HTE (O),5 Seater,₹13.00 L,Petrol,Delhi,Manual
Skoda,Slavia,Sedan,1.0 Classic,5 Seater,₹12.32 L,Petrol,Delhi,Manual
Skoda,Kushaq,SUV,1.0 Sportline,5 Seater,₹17.44 L,Petrol,Delhi,Manual
Hyundai,Exter,SUV,1.2 EX,5 Seater,₹6.73 L,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki Fronx (2023-2025),SUV,1.2 Sigma,5 Seater,₹8.51 L,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki Invicto,SUV,Zeta Plus 7 STR,7 Seater,₹29.25 L,Petrol,Delhi,Automatic
Hyundai,Verna,Sedan,1.5 SX(O) IVT,5 Seater,₹19.09 L,Petrol,Delhi,Automatic
Tata,Harrier,SUV,Pure Plus S,5 Seater,₹22.14 L,Diesel,Delhi,Manual
Mahindra,Scorpio Classic,SUV,2.2 S 7STR,7 Seater,₹16.93 L,Diesel,Delhi,Manual
Hyundai,i20,Hatchback,1.2 Magna Executive,5 Seater,₹8.58 L,Petrol,Delhi,Manual
Tata,Punch EV,SUV,Adventure LR 3.3,5 Seater,₹13.65 L,Electric,Delhi,Automatic
Mahindra,XUV400,SUV,EL Pro 39.4 kWh,5 Seater,₹18.74 L,Electric,Delhi,Automatic
Maruti Suzuki,Suzuki Jimny,SUV,Zeta,4 Seater,₹14.61 L,Petrol,Delhi,Manual
Mahindra,XUV 3XO,SUV,1.5 MX3,5 Seater,₹13.54 L,Diesel,Delhi,Manual
Toyota,Urban Cruiser Taisor,SUV,1.2 E,5 Seater,₹8.74 L,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki Ignis,Hatchback,1.2 Sigma MT,5 Seater,₹6.42 L,Petrol,Delhi,Manual
Hyundai,Creta N Line,SUV,N8 DCT,5 Seater,₹21.42 L,Petrol,Delhi,Automatic
Maruti Suzuki,Suzuki S-Presso,SUV,1.0 LXi,5 Seater,₹5.52 L,Petrol,Delhi,Manual
Volkswagen,Virtus,Sedan,1.0 Comfortline,5 Seater,₹13.40 L,Petrol,Delhi,Manual
