Brand,Model,Body_Type,Variant,Seater,Price,Fuel_Type,Location,Gearbox_Type
Renault,TriberMPV/MUV7,MPV/MUV,Authentic,7,7.25,Petrol,Delhi,Manual
Skoda,launchSkoda Kodiaq,SUV,Sportline,7,54.57,Petrol,Delhi,Automatic
Maruti Suzuki,Suzuki Baleno,Hatchback,1.2 Sigma,5,7.57,Petrol,Delhi,Manual
Citroen,Aircross,SUV,1.2 You,5,9.74,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki ErtigaMPV/MUV7,MPV/MUV,LXi,7,10.15,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki Fronx,SUV,1.2 Delta AGS,5,9.96,Petrol,Delhi,Automatic
Citroen,Basalt,SUV,You,5,9.43,Petrol,Delhi,Manual
Tata,Harrier EV,SUV,Empowered 75,5,28.87,Electric,Delhi,Automatic
Maruti Suzuki,Suzuki XL6,SUV,Alpha AT,6,16.42,Petrol,Delhi,Automatic
Kia,Carens Clavis,SUV,1.5 HTE,6,13.32,Petrol,Delhi,Manual
Citroen,C3,SUV,1.2 Live,5,7.15,Petrol,Delhi,Manual
Toyota,Innova Hycross,SUV,2.0 GX 7 STR CVT,8,23.97,Petrol,Delhi,Automatic
Bentley,Bentayga,SUV,EWB,5,676.0,Petrol,Delhi,Automatic
Mercedes-Benz,AMG EQS,Sedan,53 4MATIC Plus,5,252.0,Electric,Delhi,Automatic
Mercedes-Benz,EQE,SUV,500 4MATIC,5,148.0,Electric,Delhi,Automatic
Mercedes-Benz,EQS,Sedan,580 4MATIC,5,170.0,Electric,Delhi,Automatic
Mercedes-Benz,G-Class,SUV,G 400 d AMG Line,5,305.0,Diesel,Delhi,Automatic
Mercedes-Benz,GLA,SUV,220d AMG Line 4MATIC,5,65.46,Diesel,Delhi,Automatic
Jeep,Compass,SUV,2.0 Model S (O) Diesel,5,32.99,Diesel,Delhi,Manual
Citroen,E-C3,SUV,Live,5,12.96,Electric,Delhi,Automatic
Mercedes-Benz,GLB,SUV,220d 4MATIC AMG Line,7,85.59,Diesel,Delhi,Automatic
Jeep,Meridian,SUV,2.0 Limited (O) AT Diesel,7,41.46,Diesel,Delhi,Automatic
Citroen,C5 Aircross,SUV,Feel,5,44.38,Diesel,Delhi,Automatic
Mercedes-Benz,Maybach GLS,SUV,600 4MATIC,5,388.0,Petrol,Delhi,Automatic
Mercedes-Benz,Maybach S-Class,Sedan,S 680 4MATIC,5,398.0,Petrol,Delhi,Automatic
Mercedes-Benz,S-Class,Sedan,S 450 4MATIC,5,217.0,Petrol,Delhi,Automatic
Bmw,2 Series Gran CoupeCoupe5,Coupe,M Performance Edition,5,52.18,Petrol,Delhi,Automatic
Bmw,3 Series Gran LimousineCoupe5,Coupe,330Li M Sport,5,68.62,Petrol,Delhi,Automatic
Lamborghini,HuracanCoupe2,Coupe,Evo AWD,2,421.0,Petrol,Delhi,Automatic
Mahindra,Bolero Neo Plus,SUV,P4,9,13.88,Diesel,Delhi,Manual
Bmw,i7,Sedan,M70 xDrive,5,261.0,Electric,Delhi,Automatic
Bmw,iX,SUV,xDrive 40,5,126.0,Electric,Delhi,Automatic
Bmw,iX1,SUV,xDrive30 M Sport,5,70.01,Electric,Delhi,Automatic
Bmw,M2Coupe4,Coupe,3.0 Petrol,4,118.0,Petrol,Delhi,Automatic
Bmw,M340i,Sedan,xDrive,5,85.88,Petrol,Delhi,Automatic
Bmw,M8Coupe4,Coupe,Coupe,4,275.0,Petrol,Delhi,Automatic
Bmw,X3 M40i,SUV,xDrive,5,99.18,Petrol,Delhi,Automatic
Bmw,X4 M40i,SUV,xDrive,5,109.0,Petrol,Delhi,Automatic
Bmw,X5,SUV,xDrive40i xLine,5,112.00000000000001,Petrol,Delhi,Automatic
Aston Martin,Martin DBX,SUV,707,5,522.0,Petrol,Delhi,Automatic
Aston Martin,Martin VantageCoupe2,Coupe,V8,2,450.0,Petrol,Delhi,Automatic
Bmw,i5,Sedan,M60 xDrive,5,125.0,Electric,Delhi,Automatic
Bmw,5 Series,Sedan,530Li M Sport (Titanium Bronze),5,82.66,Petrol,Delhi,Automatic
Byd,Atto 3,SUV,Dynamic,5,25.86,Electric,Delhi,Automatic
Byd,Seal,Sedan,Premium,5,47.26,Electric,Delhi,Automatic
Audi,A8 L,Sedan,Technology,4,184.0,Petrol,Delhi,Automatic
Jeep,Wrangler,SUV,Unlimited,5,76.56,Petrol,Delhi,Automatic
Ferrari,296 GTBCoupe2,Coupe,3.0 Petrol,2,609.0,Petrol,Delhi,Automatic
Ferrari,296 GTSConvertible2,Convertible,3.0 Petrol,2,704.0,Petrol,Delhi,Automatic
Ferrari,F8 TributoCoupe2,Coupe,Berlinetta,2,454.0,Petrol,Delhi,Automatic
Ferrari,PortofinoConvertible2-4,Convertible,M,4,395.0,Petrol,Delhi,Automatic
Audi,e-tron Sportback,SUV,55,5,124.0,Electric,Delhi,Automatic
Bmw,Z4Convertible2,Convertible,M 40i,2,106.0,Petrol,Delhi,Automatic
Audi,Q3,SUV,Bold Editon,5,63.88,Petrol,Delhi,Automatic
Audi,Q3 Sportback,SUV,Bold Edition,5,65.37,Petrol,Delhi,Automatic
Audi,Q5,SUV,Bold Edition,5,84.61,Petrol,Delhi,Automatic
Mercedes-Benz,AMG GLC43 CoupeCoupe5,Coupe,4MATIC,5,128.0,Petrol,Delhi,Automatic
Land Rover,Rover Defender,SUV,90 Carpathian 5.0 Petrol,5,249.00000000000003,Petrol,Delhi,Automatic
Audi,A6,Sedan,Technology 45 TFSI W/O Matrix,5,75.18,Petrol,Delhi,Automatic
Audi,e-tron,SUV,55 Technology,5,129.0,Electric,Delhi,Automatic
Audi,A4,Sedan,Premium 40 TFSI,5,54.0,Petrol,Delhi,Automatic
Land Rover,Rover Range Rover,SUV,SE 4.4 Petrol,7,287.0,Petrol,Delhi,Automatic
Audi,Q8 e-tron,SUV,50,5,118.0,Electric,Delhi,Automatic
Bmw,7 Series,Sedan,740i M Sport,5,211.0,Petrol,Delhi,Automatic
Land Rover,Rover Range Rover Sport,SUV,HSE Dynamic 3.0 Diesel,5,170.0,Diesel,Delhi,Automatic
Land Rover,Rover Range Rover Velar,SUV,HSE Dynamic 2.0 Petrol,5,100.0,Petrol,Delhi,Automatic
Lotus,Eletre,SUV,R,4,308.0,Electric,Delhi,Automatic
Bmw,X1,SUV,sDrive18d M Sport,5,63.12,Diesel,Delhi,Automatic
Mercedes-Benz,E-Class,Sedan,E 200 Exclusive,5,86.1,Petrol,Delhi,Automatic
Mercedes-Benz,A-Class Limousine,Sedan,200d,5,56.17,Diesel,Delhi,Automatic
Mclaren,750SCoupe2,Coupe,Coupe,2,666.0,Petrol,Delhi,Automatic
Mercedes-Benz,AMG A45 S,Hatchback,4Matic Plus,5,106.0,Petrol,Delhi,Automatic
Mercedes-Benz,AMG C 43,Sedan,4MATIC,5,113.99999999999999,Petrol,Delhi,Automatic
Mercedes-Benz,EQB,SUV,350 4MATIC,7,82.51,Electric,Delhi,Automatic
Mercedes-Benz,GLC,SUV,220d 4MATIC,5,91.14,Diesel,Delhi,Automatic
Mercedes-Benz,GLS,SUV,450d 4MATIC,7,162.00000000000003,Diesel,Delhi,Automatic
Porsche,911Coupe2-4,Coupe,S/T,4,480.99999999999994,Petrol,Delhi,Automatic
Porsche,Cayenne,SUV,Base,4,162.99999999999997,Petrol,Delhi,Automatic
Porsche,Cayenne CoupeCoupe4,Coupe,Base,4,170.0,Petrol,Delhi,Automatic
Porsche,Macan,SUV,Base,5,112.99999999999999,Petrol,Delhi,Automatic
Porsche,Taycan,Sedan,4S,5,199.0,Electric,Delhi,Automatic
Porsche,Taycan Cross Turismo,Sedan,Turbo S,5,241.0,Electric,Delhi,Automatic
Rolls-Royce,Cullinan,SUV,SUV,5,813.0000000000001,Petrol,Delhi,Automatic
Rolls-Royce,Phantom,SUV,Sedan,5,1111.0,Petrol,Delhi,Automatic
Rolls-Royce,Spectre,SUV,Coupe,4,802.0,Electric,Delhi,Automatic
